time=    0, Simulation Start
time=    0, Starting Reset
time=  160, Reset Completed
time=  160, Starting Test
time=  160, Starting Semi Random Test
Time=200 Error dut: Q=1111, rco=1, scoreboard: Q=0000, rco=1
Time=2120 Error dut: Q=1111, rco=0, scoreboard: Q=0011, rco=0
Time=2160 Error dut: Q=1100, rco=0, scoreboard: Q=0011, rco=0
Time=2200 Error dut: Q=1111, rco=0, scoreboard: Q=0010, rco=0
Time=2240 Error dut: Q=1011, rco=0, scoreboard: Q=0001, rco=0
Time=2280 Error dut: Q=1010, rco=0, scoreboard: Q=0001, rco=0
Time=2320 Error dut: Q=1111, rco=0, scoreboard: Q=0000, rco=0
Time=2360 Error dut: Q=1001, rco=0, scoreboard: Q=1101, rco=1
Time=2400 Error dut: Q=1000, rco=0, scoreboard: Q=1101, rco=1
Time=2440 Error dut: Q=1000, rco=0, scoreboard: Q=1101, rco=1
Time=2480 Error dut: Q=1000, rco=0, scoreboard: Q=1101, rco=1
Time=2520 Error dut: Q=1111, rco=0, scoreboard: Q=1010, rco=0
Time=2560 Error dut: Q=0101, rco=0, scoreboard: Q=0111, rco=0
PASS
Time=2640 Error dut: Q=0011, rco=0, scoreboard: Q=0001, rco=0
Time=2680 Error dut: Q=0000, rco=0, scoreboard: Q=0001, rco=0
Time=2720 Error dut: Q=1111, rco=0, scoreboard: Q=1110, rco=1
Time=2760 Error dut: Q=1100, rco=0, scoreboard: Q=1110, rco=1
Time=2800 Error dut: Q=1100, rco=0, scoreboard: Q=1110, rco=1
Time=2840 Error dut: Q=1111, rco=0, scoreboard: Q=1101, rco=0
Time=2880 Error dut: Q=1010, rco=0, scoreboard: Q=1101, rco=0
Time=2920 Error dut: Q=1010, rco=0, scoreboard: Q=1101, rco=0
Time=2960 Error dut: Q=1010, rco=0, scoreboard: Q=1101, rco=0
Time=3000 Error dut: Q=1010, rco=0, scoreboard: Q=1101, rco=0
Time=3040 Error dut: Q=1111, rco=0, scoreboard: Q=1100, rco=0
Time=3080 Error dut: Q=1000, rco=0, scoreboard: Q=1100, rco=0
Time=3120 Error dut: Q=1000, rco=0, scoreboard: Q=1100, rco=0
time= 3600, Starting Scripted Test
Time=3640 Error dut: Q=1111, rco=1, scoreboard: Q=1110, rco=1
Time=3680 Error dut: Q=1110, rco=1, scoreboard: Q=1111, rco=0
Time=3720 Error dut: Q=0001, rco=1, scoreboard: Q=0000, rco=1
Time=3760 Error dut: Q=1111, rco=0, scoreboard: Q=0001, rco=0
PASS
Time=3840 Error dut: Q=0001, rco=1, scoreboard: Q=0001, rco=0
Time=3880 Error dut: Q=0001, rco=0, scoreboard: Q=0000, rco=0
Time=3920 Error dut: Q=0000, rco=0, scoreboard: Q=1101, rco=1
Time=3960 Error dut: Q=0111, rco=0, scoreboard: Q=1010, rco=0
Time=4000 Error dut: Q=1101, rco=1, scoreboard: Q=0111, rco=0
Time=4040 Error dut: Q=1100, rco=0, scoreboard: Q=0100, rco=0
Time=4080 Error dut: Q=1011, rco=0, scoreboard: Q=0001, rco=0
Time=4120 Error dut: Q=1001, rco=0, scoreboard: Q=1110, rco=1
Time=4160 Error dut: Q=1000, rco=0, scoreboard: Q=1111, rco=1
Time=4200 Error dut: Q=0001, rco=1, scoreboard: Q=0000, rco=1
Time=4240 Error dut: Q=1111, rco=0, scoreboard: Q=0001, rco=0
Time=4280 Error dut: Q=0010, rco=0, scoreboard: Q=0001, rco=0
Time=4320 Error dut: Q=0010, rco=0, scoreboard: Q=0001, rco=0
Time=4360 Error dut: Q=0010, rco=0, scoreboard: Q=0001, rco=0
Time=4400 Error dut: Q=1111, rco=0, scoreboard: Q=0010, rco=0
PASS
Time=4480 Error dut: Q=0000, rco=1, scoreboard: Q=0010, rco=0
Time=4520 Error dut: Q=0011, rco=0, scoreboard: Q=0001, rco=0
Time=4560 Error dut: Q=1111, rco=1, scoreboard: Q=0000, rco=0
Time=4600 Error dut: Q=1010, rco=0, scoreboard: Q=1111, rco=1
Time=4640 Error dut: Q=1111, rco=0, scoreboard: Q=1110, rco=0
Time=4680 Error dut: Q=1001, rco=0, scoreboard: Q=1101, rco=0
Time=4720 Error dut: Q=1110, rco=0, scoreboard: Q=1100, rco=0
Time=4760 Error dut: Q=1001, rco=0, scoreboard: Q=1011, rco=0
Time=4800 Error dut: Q=1101, rco=0, scoreboard: Q=1010, rco=0
Time=4840 Error dut: Q=1000, rco=0, scoreboard: Q=1001, rco=0
Time=4880 Error dut: Q=1101, rco=0, scoreboard: Q=1000, rco=0
PASS
Time=4960 Error dut: Q=0100, rco=0, scoreboard: Q=0110, rco=0
Time=5000 Error dut: Q=0111, rco=0, scoreboard: Q=0101, rco=0
Time=5040 Error dut: Q=0011, rco=0, scoreboard: Q=0100, rco=0
Time=5080 Error dut: Q=0110, rco=0, scoreboard: Q=0011, rco=0
Time=5120 Error dut: Q=0011, rco=0, scoreboard: Q=0010, rco=0
Time=5160 Error dut: Q=0101, rco=0, scoreboard: Q=0001, rco=0
Time=5200 Error dut: Q=0010, rco=0, scoreboard: Q=0000, rco=0
Time=5240 Error dut: Q=0101, rco=0, scoreboard: Q=1111, rco=1
Time=5280 Error dut: Q=0001, rco=0, scoreboard: Q=1110, rco=0
Time=5320 Error dut: Q=0100, rco=0, scoreboard: Q=1101, rco=0
Time=5360 Error dut: Q=0001, rco=0, scoreboard: Q=1100, rco=0
Time=5400 Error dut: Q=0011, rco=0, scoreboard: Q=1011, rco=0
Time=5440 Error dut: Q=0000, rco=0, scoreboard: Q=1010, rco=0
Time=5480 Error dut: Q=0011, rco=0, scoreboard: Q=1001, rco=0
Time=5520 Error dut: Q=1111, rco=1, scoreboard: Q=1000, rco=0
Time=5560 Error dut: Q=1010, rco=0, scoreboard: Q=0111, rco=0
Time=5600 Error dut: Q=1111, rco=0, scoreboard: Q=0110, rco=0
Time=5640 Error dut: Q=1001, rco=0, scoreboard: Q=0101, rco=0
Time=5680 Error dut: Q=1110, rco=0, scoreboard: Q=0100, rco=0
Time=5720 Error dut: Q=1001, rco=0, scoreboard: Q=0011, rco=0
Time=5760 Error dut: Q=1101, rco=0, scoreboard: Q=0010, rco=0
Time=5800 Error dut: Q=1000, rco=0, scoreboard: Q=0001, rco=0
Time=5840 Error dut: Q=1101, rco=0, scoreboard: Q=0000, rco=0
Time=5880 Error dut: Q=0111, rco=0, scoreboard: Q=1111, rco=1
Time=5920 Error dut: Q=0100, rco=0, scoreboard: Q=1110, rco=0
Time=5960 Error dut: Q=0111, rco=0, scoreboard: Q=1101, rco=0
Time=6000 Error dut: Q=0011, rco=0, scoreboard: Q=1100, rco=0
Time=6040 Error dut: Q=0110, rco=0, scoreboard: Q=1011, rco=0
Time=6080 Error dut: Q=0011, rco=0, scoreboard: Q=1010, rco=0
Time=6120 Error dut: Q=0101, rco=0, scoreboard: Q=1001, rco=0
Time=6160 Error dut: Q=0010, rco=0, scoreboard: Q=1000, rco=0
Time=6200 Error dut: Q=0101, rco=0, scoreboard: Q=0111, rco=0
Time=6240 Error dut: Q=0001, rco=0, scoreboard: Q=0110, rco=0
Time=6280 Error dut: Q=0100, rco=0, scoreboard: Q=0101, rco=0
Time=6320 Error dut: Q=0001, rco=0, scoreboard: Q=0100, rco=0
PASS
Time=6400 Error dut: Q=0000, rco=0, scoreboard: Q=0010, rco=0
Time=6440 Error dut: Q=0011, rco=0, scoreboard: Q=0001, rco=0
Time=6480 Error dut: Q=1111, rco=1, scoreboard: Q=0000, rco=0
Time=6520 Error dut: Q=1010, rco=0, scoreboard: Q=1111, rco=1
Time=6560 Error dut: Q=1111, rco=0, scoreboard: Q=1110, rco=0
Time=6600 Error dut: Q=1001, rco=0, scoreboard: Q=1101, rco=0
Time=6640 Error dut: Q=1110, rco=0, scoreboard: Q=1100, rco=0
Time=6680 Error dut: Q=1001, rco=0, scoreboard: Q=1011, rco=0
Time=6720 Error dut: Q=1101, rco=0, scoreboard: Q=1010, rco=0
Time=6760 Error dut: Q=1000, rco=0, scoreboard: Q=1001, rco=0
Time=6800 Error dut: Q=1101, rco=0, scoreboard: Q=1000, rco=0
PASS
Time=6880 Error dut: Q=0100, rco=0, scoreboard: Q=0110, rco=0
Time=6920 Error dut: Q=0111, rco=0, scoreboard: Q=0101, rco=0
time= 6920, Test Completed
time= 6920, Simulation Completed
